unix,Date,symbol,Open,High,Low,Close,Volume BTC,Volume,tradecount
1658214000,2022.07.19 7:00,BTC/USDT,21760.43000000,21880.97000000,21687.24000000,21764.88000000,8490.58453000,184976950.15132950,233885
1658210400,2022.07.19 6:00,BTC/USDT,21997.23000000,22133.89000000,21579.54000000,21760.43000000,11986.24267000,261870697.34668220,269715
1658206800,2022.07.19 5:00,BTC/USDT,218954000000,22119.60000000,21826.11000000,21997.23000000,7133.73650000,157040002.40921230,210435
1658203200,2022.07.19 4:00,BTC/USDT,21903.55000000,21955.33000000,21701.32000000,21892.58000000,82275657000,179745282.91268150,226245
1658199600,2022.07.19 3:00,BTC/USDT,22096.94000000,222800000000,21807.46000000,21903.55000000,8986.30369000,198463736.62579980,245313
1658196000,2022.07.19 2:00,BTC/USDT,22054.99000000,22173.34000000,21926.84000000,22096.71000000,8586.64625000,189463551.80827180,243152
1658192400,2022.07.19 1:00,BTC/USDT,22342.67000000,223932000000,220001000000,22054.99000000,12627.55240000,280217726.93331050,310107
1658188800,2022.07.19 0:00,BTC/USDT,22432.58000000,22961.72000000,22166.71000000,22345.94000000,254172407000,572193787.32306510,557984
1658185200,2022.07.18 23:00,BTC/USDT,21792.73000000,226500000000,21768.92000000,22432.58000000,13329.56967000,295972042.65068320,343430
1658181600,2022.07.18 22:00,BTC/USDT,21660.90000000,21860.28000000,215560000000,21792.51000000,7577.49998000,164417129.20879810,227329
1658178000,2022.07.18 21:00,BTC/USDT,21491.79000000,21756.30000000,21445.25000000,21659.73000000,5080.34446000,109882862.15621360,169211
1658174400,2022.07.18 20:00,BTC/USDT,21617.92000000,21678.43000000,21434.35000000,21493.18000000,6609.75391000,142581639.70356620,191909
1658170800,2022.07.18 19:00,BTC/USDT,21835.17000000,21879.53000000,213880000000,21617.92000000,12357.14260000,267296123.92395580,309555
1658167200,2022.07.18 18:00,BTC/USDT,21876.30000000,22010.70000000,21801.56000000,21832.70000000,8485.22266000,185872793.99309500,249254
1658163600,2022.07.18 17:00,BTC/USDT,22200.57000000,22222.40000000,218215000000,218786000000,9841.70317000,2169477189482760,279944
1658160000,2022.07.18 16:00,BTC/USDT,22675.83000000,22713.28000000,22110.77000000,222020000000,14011.67607000,313493147.71130860,343626
1658156400,2022.07.18 15:00,BTC/USDT,22211.87000000,22777.63000000,22158.30000000,22675.83000000,11484.26096000,257143346.63734850,307170
1658152800,2022.07.18 14:00,BTC/USDT,22136.28000000,222400000000,219885000000,222138000000,10820.32148000,239058569.95594440,296730
1658149200,2022.07.18 13:00,BTC/USDT,222875000000,223180000000,220690000000,22139.16000000,10266.66099000,228007614.61761670,293646
1658145600,2022.07.18 12:00,BTC/USDT,221328000000,223200000000,218980000000,222875000000,12319.29615000,271900712.56668100,339658
1658142000,2022.07.18 11:00,BTC/USDT,22199.64000000,223300000000,21960.71000000,22133.31000000,11391.92220000,252433666.14929160,306003
1658138400,2022.07.18 10:00,BTC/USDT,222410000000,22367.92000000,22137.79000000,22199.64000000,8406.76710000,186921219.38966350,249447
1658134800,2022.07.18 9:00,BTC/USDT,22289.81000000,224000000000,222200000000,222424000000,8473.85211000,188900399.68479250,238892
1658131200,2022.07.18 8:00,BTC/USDT,22245.93000000,225150000000,221521000000,22289.81000000,139117738000,310705362.72905380,335953
1658127600,2022.07.18 7:00,BTC/USDT,22197.69000000,224000000000,22101.88000000,22245.93000000,11307.45260000,251628942.17315300,306927
1658124000,2022.07.18 6:00,BTC/USDT,218620000000,22358.23000000,21771.53000000,22194.47000000,161299684000,356073545.95124010,391784
1658120400,2022.07.18 5:00,BTC/USDT,21302.78000000,218804000000,21290.21000000,218621000000,15345.39418000,331602192.45393880,352899
1658116800,2022.07.18 4:00,BTC/USDT,21282.60000000,21328.42000000,211701000000,21300.29000000,5614.22619000,119383133.59841690,184212
1658113200,2022.07.18 3:00,BTC/USDT,21336.55000000,21379.99000000,211931000000,212802000000,64047757000,1364136406470940,211413
1658109600,2022.07.18 2:00,BTC/USDT,20978.87000000,21377.48000000,209600000000,21335.52000000,10301.65240000,217960364.54392850,274952
1658106000,2022.07.18 1:00,BTC/USDT,20822.85000000,21013.35000000,20814.80000000,20977.91000000,4945.90867000,103547401.35241920,174563
1658102400,2022.07.18 0:00,BTC/USDT,20799.58000000,20924.31000000,20762.45000000,20822.85000000,5527.85198000,115253242.22860970,185880
1658098800,2022.07.17 23:00,BTC/USDT,21002.15000000,210080000000,207501000000,20798.16000000,4297.32420000,89636945.76712270,162232
1658095200,2022.07.17 22:00,BTC/USDT,21018.99000000,210800000000,20921.88000000,21002.15000000,3440.61146000,72257818.63839930,142822
1658091600,2022.07.17 21:00,BTC/USDT,20935.47000000,210550000000,208831000000,21018.99000000,3698.77213000,77635166.49298670,128282
1658088000,2022.07.17 20:00,BTC/USDT,21029.12000000,210460000000,20910.23000000,20935.47000000,2769.85149000,58081789.39047160,116740
1658084400,2022.07.17 19:00,BTC/USDT,209763000000,21082.11000000,20933.57000000,21026.85000000,31479512000,66157290.52909030,126478
1658080800,2022.07.17 18:00,BTC/USDT,20921.43000000,21064.53000000,20853.47000000,20973.90000000,5034.44487000,1056002021933730,172638
1658077200,2022.07.17 17:00,BTC/USDT,21148.36000000,213550000000,208240000000,20921.42000000,8331.34956000,176334780.18951900,254669
1658073600,2022.07.17 16:00,BTC/USDT,211709000000,21215.62000000,210020000000,21149.79000000,52156135000,110147652.49326990,199064
1658070000,2022.07.17 15:00,BTC/USDT,21205.22000000,212780000000,21123.40000000,211709000000,4067.95263000,862749973782690,166755
1658066400,2022.07.17 14:00,BTC/USDT,21117.48000000,21260.94000000,210757000000,21203.82000000,44323615000,93924079.50645960,182868
1658062800,2022.07.17 13:00,BTC/USDT,21380.78000000,21388.51000000,21113.73000000,21117.48000000,8563.61821000,181738941.35539110,265068
1658059200,2022.07.17 12:00,BTC/USDT,21459.35000000,215000000000,21340.73000000,21382.44000000,4300.39801000,92160583.59223230,175992
1658055600,2022.07.17 11:00,BTC/USDT,21383.69000000,214833000000,21292.20000000,21456.79000000,4956.38181000,105963750.17726280,180902
1658052000,2022.07.17 10:00,BTC/USDT,21364.94000000,21398.51000000,21209.71000000,21386.16000000,5934.26719000,126463624.94197570,197557
1658048400,2022.07.17 9:00,BTC/USDT,21456.52000000,215490000000,21275.12000000,213676000000,6003.12630000,1284360665372410,209097
1658044800,2022.07.17 8:00,BTC/USDT,21467.61000000,21518.87000000,21373.56000000,21456.52000000,61713674000,132253822.96840140,220045
1658041200,2022.07.17 7:00,BTC/USDT,21576.82000000,21684.54000000,21463.24000000,21467.61000000,56838463000,122496580.30194120,208484
1658037600,2022.07.17 6:00,BTC/USDT,21356.25000000,21597.88000000,21344.58000000,215755000000,59070279000,126705367.66392330,191758
1658034000,2022.07.17 5:00,BTC/USDT,21259.61000000,21400.65000000,212510000000,21357.66000000,4069.93307000,868111603144270,150525
1658030400,2022.07.17 4:00,BTC/USDT,21322.27000000,21475.64000000,212311000000,21258.45000000,3658.51571000,78045135.16195570,155375
1658026800,2022.07.17 3:00,BTC/USDT,21159.93000000,21460.85000000,21155.89000000,21324.18000000,5671.56032000,120929985.82419720,173792
1658023200,2022.07.17 2:00,BTC/USDT,21155.33000000,21236.96000000,21128.22000000,21159.93000000,3278.80750000,69448882.23207940,145187
